1	0.55	0.43	0.13	0.8395	0.3155	0.1955	0.2405	10
-1	0.56	0.44	0.135	0.8025	0.35	0.1615	0.259	9
-1	0.585	0.475	0.165	1.053	0.458	0.217	0.3	11
0	0.475	0.365	0.115	0.499	0.232	0.0885	0.156	10
1	0.5	0.38	0.125	0.577	0.269	0.1265	0.1535	9
-1	0.515	0.4	0.125	0.615	0.2865	0.123	0.1765	8
1	0.52	0.385	0.165	0.791	0.375	0.18	0.1815	10
1	0.55	0.43	0.13	0.8395	0.3155	0.1955	0.2405	10
0	0.43	0.315	0.115	0.384	0.1885	0.0715	0.11	8
0	0.435	0.33	0.095	0.393	0.219	0.075	0.0885	6
0	0.37	0.28	0.09	0.218	0.0995	0.0545	0.0615	7
0	0.44	0.35	0.11	0.3805	0.1575	0.0895	0.115	6
1	0.475	0.37	0.11	0.4895	0.2185	0.107	0.146	8
-1	0.715	0.565	0.18	1.79	0.844	0.3535	0.5385	9
-1	0.72	0.59	0.205	1.7495	0.7755	0.4225	0.48	11
0	0.42	0.305	0.1	0.3415	0.1645	0.0775	0.086	7
0	0.48	0.35	0.1	0.519	0.2365	0.1275	0.126	7
1	0.48	0.365	0.13	0.5305	0.2405	0.127	0.139	8
1	0.51	0.41	0.155	1.2825	0.569	0.291	0.3795	9
0	0.515	0.4	0.14	0.7165	0.3495	0.1595	0.1785	8
